merchant,item,category
Dominos,Pizza,Food
Dominos,Burger,Food
Dominos,Fries,Food
Dominos,Coffee,Food
Dominos,Garlic Bread,Food
Dominos,Pasta,Food
Dominos,Wrap,Food
Dominos,Sandwich,Food
McDonalds,Pizza,Food
McDonalds,Burger,Food
McDonalds,Fries,Food
McDonalds,Coffee,Food
McDonalds,Garlic Bread,Food
McDonalds,Pasta,Food
McDonalds,Wrap,Food
McDonalds,Sandwich,Food
KFC,Pizza,Food
KFC,Burger,Food
KFC,Fries,Food
KFC,Coffee,Food
KFC,Garlic Bread,Food
KFC,Pasta,Food
KFC,Wrap,Food
KFC,Sandwich,Food
Burger King,Pizza,Food
Burger King,Burger,Food
Burger King,Fries,Food
Burger King,Coffee,Food
Burger King,Garlic Bread,Food
Burger King,Pasta,Food
Burger King,Wrap,Food
Burger King,Sandwich,Food
Pizza Hut,Pizza,Food
Pizza Hut,Burger,Food
Pizza Hut,Fries,Food
Pizza Hut,Coffee,Food
Pizza Hut,Garlic Bread,Food
Pizza Hut,Pasta,Food
Pizza Hut,Wrap,Food
Pizza Hut,Sandwich,Food
Starbucks,Pizza,Food
Starbucks,Burger,Food
Starbucks,Fries,Food
Starbucks,Coffee,Food
Starbucks,Garlic Bread,Food
Starbucks,Pasta,Food
Starbucks,Wrap,Food
Starbucks,Sandwich,Food
Subway,Pizza,Food
Subway,Burger,Food
Subway,Fries,Food
Subway,Coffee,Food
Subway,Garlic Bread,Food
Subway,Pasta,Food
Subway,Wrap,Food
Subway,Sandwich,Food
Taco Bell,Pizza,Food
Taco Bell,Burger,Food
Taco Bell,Fries,Food
Taco Bell,Coffee,Food
Taco Bell,Garlic Bread,Food
Taco Bell,Pasta,Food
Taco Bell,Wrap,Food
Taco Bell,Sandwich,Food
Haldirams,Pizza,Food
Haldirams,Burger,Food
Haldirams,Fries,Food
Haldirams,Coffee,Food
Haldirams,Garlic Bread,Food
Haldirams,Pasta,Food
Haldirams,Wrap,Food
Haldirams,Sandwich,Food
Bikanervala,Pizza,Food
Bikanervala,Burger,Food
Bikanervala,Fries,Food
Bikanervala,Coffee,Food
Bikanervala,Garlic Bread,Food
Bikanervala,Pasta,Food
Bikanervala,Wrap,Food
Bikanervala,Sandwich,Food
Uber,Cab Ride,Transport
Uber,Bike Ride,Transport
