merchant,item,category
Burger King,WHOPPER CHS,Food
McDonalds,WHOPPER,Food
KFC,SM FRY,Food
Dominos,LG FRY,Food
Pizza Hut,SOFT DRINK,Food
Starbucks,REGULAR COMBO,Food
Subway,BIG MAC,Food
Taco Bell,MCCHICKEN,Food
Cafe Coffee Day,FRENCH FRIES,Food
Burger Singh,PEPSI,Food
Burger King,COKE,Food
McDonalds,ZINGER BURGER,Food
KFC,HOT WINGS,Food
Dominos,PIZZA,Food
Pizza Hut,GARLIC BREAD,Food
Starbucks,PASTA,Food
Subway,CAPPUCCINO,Food
Taco Bell,LATTE,Food
Cafe Coffee Day,MOCHA,Food
Burger Singh,CHICKEN SANDWICH,Food
Burger King,VEG BURGER,Food
McDonalds,NUGGETS,Food
KFC,ONION RINGS,Food
Dominos,MILKSHAKE,Food
Pizza Hut,ICED COFFEE,Food
Starbucks,WHOPPER CHS,Food
Subway,WHOPPER,Food
Taco Bell,SM FRY,Food
Cafe Coffee Day,LG FRY,Food
Burger Singh,SOFT DRINK,Food
Burger King,REGULAR COMBO,Food
McDonalds,BIG MAC,Food
KFC,MCCHICKEN,Food
Dominos,FRENCH FRIES,Food
Pizza Hut,PEPSI,Food
Starbucks,COKE,Food
Subway,ZINGER BURGER,Food
Taco Bell,HOT WINGS,Food
Cafe Coffee Day,PIZZA,Food
Burger Singh,GARLIC BREAD,Food
Burger King,PASTA,Food
McDonalds,CAPPUCCINO,Food
KFC,LATTE,Food
Dominos,MOCHA,Food
Pizza Hut,CHICKEN SANDWICH,Food
Starbucks,VEG BURGER,Food
Subway,NUGGETS,Food
Taco Bell,ONION RINGS,Food
Cafe Coffee Day,MILKSHAKE,Food
Burger Singh,ICED COFFEE,Food
Burger King,WHOPPER CHS,Food
McDonalds,WHOPPER,Food
KFC,SM FRY,Food
Dominos,LG FRY,Food
Pizza Hut,SOFT DRINK,Food
Starbucks,REGULAR COMBO,Food
Subway,BIG MAC,Food
Taco Bell,MCCHICKEN,Food
Cafe Coffee Day,FRENCH FRIES,Food
Burger Singh,PEPSI,Food
Burger King,COKE,Food
McDonalds,ZINGER BURGER,Food
KFC,HOT WINGS,Food
Dominos,PIZZA,Food
Pizza Hut,GARLIC BREAD,Food
Starbucks,PASTA,Food
Subway,CAPPUCCINO,Food
Taco Bell,LATTE,Food
Cafe Coffee Day,MOCHA,Food
Burger Singh,CHICKEN SANDWICH,Food
Burger King,VEG BURGER,Food
McDonalds,NUGGETS,Food
KFC,ONION RINGS,Food
Dominos,MILKSHAKE,Food
Pizza Hut,ICED COFFEE,Food
Starbucks,WHOPPER CHS,Food
Subway,WHOPPER,Food
Taco Bell,SM FRY,Food
Cafe Coffee Day,LG FRY,Food
Burger Singh,SOFT DRINK,Food
Burger King,REGULAR COMBO,Food
McDonalds,BIG MAC,Food
KFC,MCCHICKEN,Food
Dominos,FRENCH FRIES,Food
Pizza Hut,PEPSI,Food
Starbucks,COKE,Food
Subway,ZINGER BURGER,Food
Taco Bell,HOT WINGS,Food
Cafe Coffee Day,PIZZA,Food
Burger Singh,GARLIC BREAD,Food
Burger King,PASTA,Food
McDonalds,CAPPUCCINO,Food
KFC,LATTE,Food
Dominos,MOCHA,Food
Pizza Hut,CHICKEN SANDWICH,Food
Starbucks,VEG BURGER,Food
Subway,NUGGETS,Food
